Forme correcte,Forme erronée (manuel),Nombre d'apprenants,FR,IT,NL,UK,GE,Apprenants
idź,ichś,1,0,1,0,0,0,5112
idź,ikś,1,0,1,0,0,0,5112
idź,idźsz,1,0,1,0,0,0,5120
sklepem,skret,1,1,0,0,0,0,1103
sklepem,sklepu,12,4,0,0,0,8,"1105, 1106, 1112, 1116, 4103, 4106, 4109, 4110, 4114, 4118, 4119, 4123"
sklepem,sklebe,1,1,0,0,0,0,1113
sklepem,sklept,1,1,0,0,0,0,1118
sklepem,sklepts,1,1,0,0,0,0,1115
sklepem,sklepen,1,0,1,0,0,0,5101
sklepem,szklepe,5,0,2,1,2,0,"2102, 3112, 3114, 5104, 5118"
sklepem,sklep,15,0,1,7,2,5,"2104, 2106, 2114, 2115, 2117, 2119, 2120, 3115, 3119, 4101, 4102, 4105, 4108, 4120, 5117"
sklepem,sklepiem,3,0,1,0,1,1,"3104, 4115, 5102"
sklepem,szklep,6,0,0,6,0,0,"2103, 2105, 2107, 2109, 2113, 2118"
sklepem,szklepem,4,0,0,0,4,0,"3107, 3108, 3115, 3116"
ulica,ulisze,1,1,0,0,0,0,1116
ulica,ulika,1,1,0,0,0,0,1118
ulica,ulice,2,0,1,1,0,0,"2118, 5101"
ulica,uliczia,2,0,0,2,0,0,"2101, 2119"
ulica,ulicza,6,0,0,3,0,3,"2104, 2117, 2120, 4106, 4108, 4113"
ulica,ulicia,1,0,0,1,0,0,2114
ulica,julicza,1,0,0,1,0,0,2107
ulica,jul,1,0,0,0,0,1,4109
ulica,uli,1,0,0,0,0,1,4122
ulica,ulic,1,0,0,0,0,1,4115
ulica,ulisa,2,0,0,0,0,2,"4108, 4115"
proszę,poszę,2,1,0,0,1,0,"1113, 3113"
proszę,prożę,2,0,1,0,1,0,"3101, 5104"
proszę,prosz,3,0,2,0,0,1,"4105, 5109, 5111"
proszę,prosę,1,0,0,1,0,0,2105
proszę,prosztę,1,0,0,0,0,1,4120
proszę,pros,1,0,0,0,0,1,4108
lewo,ljewo,1,1,0,0,0,0,1113
lewo,wrewo,1,1,0,0,0,0,1105
lewo,lewoł,1,0,0,0,1,0,3101
lewo,lewou,1,0,0,0,1,0,3117
za,zna,5,1,0,1,0,3,"1118, 2106, 4101, 4115, 4119"
za,dza,1,0,1,0,0,0,5104
za,tza,3,0,0,3,0,0,"2113, 2114, 2118"
za,sza,1,0,0,1,0,0,2107
za,zo,1,0,0,0,1,0,3113
parku,park,6,1,1,2,1,1,"1118, 2101, 2118, 3105, 4109, 5114"
numer,numero,3,1,0,0,0,2,"1118, 4108, 4122"
numer,numier,1,1,0,0,0,0,1106
numer,nume,4,0,0,1,0,3,"2103, 4114, 4117, 4120"
numer,numeu,1,0,0,0,1,0,3109
teatrem,teatra,1,1,0,0,0,0,1105
teatrem,teatr,2,0,1,1,0,0,"2104, 5105"
na,numa,2,1,0,0,0,1,"1105, 4103"
na,zna,1,0,0,0,1,0,3115
na,najd,1,0,0,0,1,0,3118
na,nambe,1,0,0,0,0,1,4101
szpitalu,ospitalu,1,1,0,0,0,0,1115
potem,pote,2,0,2,0,0,0,"5114, 5115"
tutaj,tutuj,1,0,1,0,0,0,5101
środku,szrodku,1,0,1,0,0,0,5105
skrzyżowania,szyżowani,1,0,1,0,0,0,5117
skrzyżowania,szyżowanie,1,0,0,0,0,1,4113
rogu,rou,1,0,1,0,0,0,5111
skrzyżowaniu,szyżowanie,1,0,1,0,0,0,5111
jest,est,2,0,1,0,0,1,"4105, 5111"
jest,jeste,1,0,1,0,0,0,5109
jest,jestem,2,0,0,2,0,0,"2109, 2118"
jest,jes,4,0,0,1,0,3,"2104, 4108, 4115, 4117"
jest,ject,1,0,0,1,0,0,2102
sklep,szklep,1,0,1,0,0,0,5111
biblioteki,biblioteke,1,0,1,0,0,0,5107
biblioteki,biblioteka,4,0,0,1,0,3,"2120, 4105, 4108, 4119"
